{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.0}, {'auc': 0.7572569438383128, 'acc': 0.8141814711637636, 'loss': 0.45460325}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.0001}, {'auc': 0.763287332686363, 'acc': 0.7893377279518264, 'loss': 0.45621195}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.0003}, {'auc': 0.7724945374636433, 'acc': 0.7982769856786356, 'loss': 0.45823187}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.001}, {'auc': 0.7608032185314686, 'acc': 0.7949296993774483, 'loss': 0.46161765}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.003}, {'auc': 0.7607815978359658, 'acc': 0.8021242121994344, 'loss': 0.46577105}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.01}, {'auc': 0.7529678226896314, 'acc': 0.7996421343269579, 'loss': 0.47279987}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.0}, {'auc': 0.7596378358783034, 'acc': 0.799597518983878, 'loss': 0.45245838}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.0001}, {'auc': 0.759929202490429, 'acc': 0.7983717829582643, 'loss': 0.45386386}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.0003}, {'auc': 0.7663011043349917, 'acc': 0.7960063427556805, 'loss': 0.45553565}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.001}, {'auc': 0.7685353154649672, 'acc': 0.8049638438142396, 'loss': 0.45786786}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.003}, {'auc': 0.758277516717434, 'acc': 0.8049360536128578, 'loss': 0.46133974}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.01}, {'auc': 0.767570530141775, 'acc': 0.8007351573202839, 'loss': 0.46677595}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.0}, {'auc': 0.7594145096936171, 'acc': 0.798171470813652, 'loss': 0.45112678}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.0001}, {'auc': 0.765373446146232, 'acc': 0.8062731836472546, 'loss': 0.45236903}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.0003}, {'auc': 0.7629705667641171, 'acc': 0.8007374915967226, 'loss': 0.45349973}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.001}, {'auc': 0.7587072395775573, 'acc': 0.8039340813464235, 'loss': 0.45547432}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.003}, {'auc': 0.758835990857047, 'acc': 0.7935552868037301, 'loss': 0.4584441}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.01}, {'auc': 0.7586226097306152, 'acc': 0.7979949069152223, 'loss': 0.4623422}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.0}, {'auc': 0.7757328796911824, 'acc': 0.7969794743101672, 'loss': 0.4509735}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.0001}, {'auc': 0.7653762136579676, 'acc': 0.7929119603727274, 'loss': 0.45203766}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.0003}, {'auc': 0.7605200449863825, 'acc': 0.8052179310039086, 'loss': 0.4530714}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.001}, {'auc': 0.7567248331648729, 'acc': 0.8044483610508556, 'loss': 0.45505664}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.003}, {'auc': 0.7595479468818158, 'acc': 0.8034728780965169, 'loss': 0.45769188}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.01}, {'auc': 0.7549113649932138, 'acc': 0.8032768744060096, 'loss': 0.4614464}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.0}, {'auc': 0.7637350316094033, 'acc': 0.7945860718904459, 'loss': 0.45068422}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.0001}, {'auc': 0.763580642820165, 'acc': 0.7966769674065104, 'loss': 0.45277378}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.0003}, {'auc': 0.7571187379782103, 'acc': 0.8049785432200852, 'loss': 0.45515436}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.001}, {'auc': 0.7637438305933448, 'acc': 0.7873903848485256, 'loss': 0.4590342}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.003}, {'auc': 0.7589209970910583, 'acc': 0.8009523752549937, 'loss': 0.45945898}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'skill', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.01}, {'auc': 0.7519025394790407, 'acc': 0.7892137870258525, 'loss': 0.4653419}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.0}, {'auc': 0.7097625331550773, 'acc': 0.7102894580708686, 'loss': 0.5051484}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.0001}, {'auc': 0.7263820048210873, 'acc': 0.7310816249777314, 'loss': 1.3329912}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.0003}, {'auc': 0.7312353549673021, 'acc': 0.7264112613372838, 'loss': 1.1716765}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.001}, {'auc': 0.7376668488785665, 'acc': 0.7400927586549472, 'loss': 0.5602659}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.003}, {'auc': 0.7287288305767672, 'acc': 0.740453827834417, 'loss': 0.5701693}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.01, 'l2_reg': 0.01}, {'auc': 0.5669887778293463, 'acc': 0.5811168267589839, 'loss': 0.6835299}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.0}, {'auc': 0.7254782175760004, 'acc': 0.7219945107427425, 'loss': 0.43106785}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.0001}, {'auc': 0.733496344796956, 'acc': 0.7185645683654097, 'loss': 0.767059}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.0003}, {'auc': 0.7536677490085786, 'acc': 0.7464114271647198, 'loss': 0.5178254}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.001}, {'auc': 0.7494694171940692, 'acc': 0.7478193317918792, 'loss': 0.46139446}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.003}, {'auc': 0.7412280326621237, 'acc': 0.7417812627237742, 'loss': 0.51334935}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.03, 'l2_reg': 0.01}, {'auc': 0.7138542111918379, 'acc': 0.7330972274753865, 'loss': 0.5817546}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.0}, {'auc': 0.7325592006425203, 'acc': 0.7309675145132685, 'loss': 0.421767}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.0001}, {'auc': 0.7368216177199955, 'acc': 0.7235094109225652, 'loss': 0.7738452}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.0003}, {'auc': 0.7470401082175511, 'acc': 0.7433581598590004, 'loss': 0.46559086}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.001}, {'auc': 0.7550192504668913, 'acc': 0.7328296377190067, 'loss': 0.4434921}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.003}, {'auc': 0.7315516996454545, 'acc': 0.7285980148883374, 'loss': 0.48251984}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.1, 'l2_reg': 0.01}, {'auc': 0.7208736575318833, 'acc': 0.730720212667035, 'loss': 0.52713233}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.0}, {'auc': 0.7366264614760716, 'acc': 0.7244303507796921, 'loss': 0.41941592}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.0001}, {'auc': 0.7397810155435305, 'acc': 0.7272860666447731, 'loss': 0.7416946}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.0003}, {'auc': 0.7520970150497943, 'acc': 0.732608123519607, 'loss': 0.49489778}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.001}, {'auc': 0.7442105675072844, 'acc': 0.735102153623743, 'loss': 0.45697612}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.003}, {'auc': 0.7195873353659652, 'acc': 0.7268176298915706, 'loss': 0.5243733}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 0.3, 'l2_reg': 0.01}, {'auc': 0.7072243001509743, 'acc': 0.7254416103610796, 'loss': 0.5659378}
{'data_file': 'kdd_data_2005.csv', 'mode': 'new user', 'item': 'problem', 'pretrain_flag': False, 'model': 'DKVMN_bi', 'initial_lr': 1.0, 'l2_reg': 0.0}, {'auc': 0.7234357376314867, 'acc': 0.7167052091671855, 'loss': 0.40119615}
